Clear,Clear
Mostly Cloudy,Cloudy
Overcast,Cloudy
Fair,Clear
Partly Cloudy,Cloudy
Scattered Clouds,Cloudy
Light Rain,Rainy
Cloudy,Cloudy
Light Snow,Snowy
Haze,Fog
Rain,Rainy
Fog,Fog
Heavy Rain,Rainy
Light Drizzle,Rainy
Light Thunderstorms and Rain,Rainy
Snow,Snowy
Thunderstorm,Rainy
Fair / Windy,Clear/Windy
Smoke,Smoke
Heavy Thunderstorms and Rain,Rainy
Patches of Fog,Fog
Thunderstorms and Rain,Rainy
Mist,Rainy
Thunder in the Vicinity,Rainy
T-Storm,Rainy
Light Freezing Rain,Icy
Cloudy / Windy,Cloudy/Windy
Drizzle,Rainy
Mostly Cloudy / Windy,Cloudy/Windy
Light Rain with Thunder,Rainy
Thunder,Rainy
Partly Cloudy / Windy,Cloudy/Windy
Heavy T-Storm,Rainy
Heavy Snow,Snowy
Shallow Fog,Fog
Light Rain / Windy,Rain/Windy
Light Freezing Fog,Fog
Wintry Mix,Icy
Light Freezing Drizzle,Icy
Light Snow / Windy,Snow/Windy
Rain / Windy,Rain/Windy
Blowing Snow,Snowy
Showers in the Vicinity,Rainy
Light Ice Pellets,Icy
Heavy Drizzle,Rainy
N/A Precipitation,Clear
Heavy Rain / Windy,Rain/Windy
Light Rain Showers,Rainy
Heavy T-Storm / Windy,Rain/Windy
Widespread Dust,Dust
T-Storm / Windy,Rainy
Rain Showers,Rainy
Ice Pellets,Icy
Thunder / Windy,Rainy
Haze / Windy,Fog
Drizzle and Fog,Fog
Blowing Dust / Windy,Dust/Windy
Fog / Windy,Fog/Windy
Light Rain Shower,Rainy
Snow / Windy,Snow/Windy
Blowing Dust,Dust
Small Hail,Icy
Light Drizzle / Windy,Rain/Windy
Sand / Dust Whirlwinds,Dust/Windy
Squalls,Rain/Windy
Light Snow Showers,Snowy
Heavy Snow / Windy,Snow/Windy
Light Thunderstorms and Snow,Rain/Snow
Volcanic Ash,Ash
Wintry Mix / Windy,Icy/Windy
Funnel Cloud,Tornado
Sand,Sand
Freezing Rain,Icy
Blowing Snow / Windy,Snow/Windy
Partial Fog,Fog
Light Haze,Fog
Snow and Sleet / Windy,Icy/Windy
Light Snow with Thunder,Snow
Light Snow and Sleet,Icy/Snow
Snow and Sleet,Icy/Snow
Heavy Rain Showers,Rain
Heavy Thunderstorms with Small Hail,Rain
Smoke / Windy,Smoke/Windy
Heavy Sleet,Icy
Light Snow Grains,Snow
Rain Shower,Rain
Light Freezing Rain / Windy,Icy/Windy
Heavy Snow with Thunder,Snow
Squalls / Windy,Rain/Windy
Low Drifting Snow,Snow
Heavy Thunderstorms and Snow,Snow
Light Sleet,Icy
Drizzle / Windy,Rain/Windy
Snow Grains,Snow
Heavy Ice Pellets,Icy
Heavy Blowing Snow,Snow/Windy
Light Snow and Sleet / Windy,Snow/Windy
Light Fog,Fog
Thunderstorms and Snow,Snow
Light Thunderstorm,Rain
Light Hail,Icy
Tornado,Tornado
Light Blowing Snow,Snow
Sleet,Icy
Heavy Freezing Drizzle,Icy
Heavy Freezing Rain,Icy
Hail,Icy
Sand / Dust Whirlwinds / Windy,Dust/Windy
Snow Showers,Snow
Freezing Rain / Windy,Icy/Windy
Dust Whirls,Dust
Blowing Sand,Sand/Windy
Thunder / Wintry Mix / Windy,Icy/Windy
Widespread Dust / Windy,Dust/Windy
Partial Fog / Windy,Fog/Windy
Light Rain Shower / Windy,Rain/Windy
Heavy Smoke,Smoke
Snow and Thunder,Snowy
Light Snow Shower,Snowy
Thunder and Hail / Windy,Rain/Windy
